Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA
SP1,04/02/2007,Osasuna,Barcelona,0,0,D,0,0,D,15,13,3,3,18,22,1,5,2,2,0,0,5.5,3.6,1.61,4.65,3.35,1.7,5,3.5,1.68,4.7,3.2,1.7,4.5,3.1,1.72,4.75,3.4,1.67,4.8,3.2,1.66,4.75,3.2,1.73,4.5,3.5,1.6,42,5.5,4.9,3.6,3.38,1.75,1.67
SP1,04/02/2007,Real Madrid,Levante,0,1,A,0,1,A,18,6,6,2,14,17,13,2,3,4,0,0,1.28,5,10,1.25,5,9.75,1.25,5.25,11,1.22,4.8,11,1.28,4.33,9,1.28,4.75,9,1.25,4.5,10,1.25,5,10,1.2,5.5,9,42,1.29,1.25,5.5,4.92,12.85,10.38
SP1,04/02/2007,Recreativo,Villarreal,2,1,H,1,0,H,9,10,3,2,20,15,2,6,0,1,0,1,2.37,3.2,2.9,2.25,3.15,2.95,2.4,3.15,2.9,2.3,2.9,3,2.2,3.2,2.8,2.3,3.2,2.8,2.3,3.1,2.75,2.25,3.2,2.88,2.25,3.25,2.7,42,2.5,2.33,3.25,3.14,3,2.85
SP1,04/02/2007,Santander,Getafe,1,0,H,1,0,H,12,10,5,1,24,12,5,5,4,3,0,0,2.4,3.25,2.8,2.3,3.15,2.85,2.35,3.2,2.9,2.3,3,2.9,2.1,3.2,3,2.3,3.2,2.8,2.3,3.1,2.75,2.2,3.2,3,2.25,3.2,2.75,43,2.45,2.3,3.25,3.15,3.1,2.89
SP1,04/02/2007,Sevilla,Sociedad,0,0,D,0,0,D,13,7,3,4,16,25,10,1,1,5,1,0,1.28,5,10,1.25,5,9.75,1.3,4.75,10,1.3,4.4,8.5,1.28,4.33,9,1.28,4.6,9.5,1.3,4.33,8,1.25,5,10,1.28,4.35,8.5,42,1.32,1.28,5,4.63,12.85,9.69
SP1,10/02/2007,Betis,Sevilla,0,0,D,0,0,D,11,17,6,3,22,11,3,5,2,2,0,0,2.87,3.2,2.4,3,3.2,2.2,2.95,3.1,2.4,2.9,2.9,2.4,2.75,3,2.37,2.8,3.1,2.38,2.7,3,2.37,3,3.2,2.2,2.7,3,2.4,47,3.1,2.85,3.2,3.09,2.6,2.38
SP1,10/02/2007,Sociedad,Real Madrid,1,2,A,1,1,D,13,7,4,3,16,31,7,2,2,5,0,0,4.33,3.3,1.83,3.85,3.3,1.85,4.25,3.3,1.85,4.2,3,1.85,4.33,3.2,1.72,4.2,3.25,1.8,3.8,3.25,1.8,4.2,3.25,1.8,4,3.25,1.75,43,4.55,4.15,3.4,3.24,1.95,1.83
SP1,11/02/2007,Ath Madrid,Ath Bilbao,1,0,H,0,0,D,15,9,3,2,24,14,6,3,3,2,0,0,1.8,3.3,4.5,1.67,3.35,4.85,1.8,3.25,4.75,1.7,3.3,4.5,1.66,3.2,5,1.8,3.3,4,1.66,3.3,4.5,1.73,3.3,4.5,1.7,3.25,4.5,47,1.9,1.75,3.45,3.27,5.15,4.55
SP1,11/02/2007,Barcelona,Santander,2,0,H,0,0,D,17,6,7,2,15,22,2,3,1,1,0,0,1.25,5,13,1.3,4.5,9,1.28,5,11,1.3,4.4,8.5,1.25,4.5,10,1.28,4.75,9,1.22,4.8,10,1.22,5,12,1.25,4.5,10.5,44,1.32,1.27,5,4.67,14,10.4
SP1,11/02/2007,Celta,Espanol,0,2,A,0,1,A,25,13,8,6,12,17,10,5,0,4,1,0,2.25,3.1,3.2,2.25,3.15,2.95,2.3,3.1,3.15,2.2,2.8,3.3,2.25,3,2.87,2.25,3.1,3,2.25,3.1,2.8,2.1,3.2,3.2,2.2,3.1,2.9,46,2.35,2.25,3.2,3.11,3.3,3.02
