Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,PSCH,PSCD,PSCA
SP1,22/02/2014,Real Madrid,Elche,3,0,H,1,0,H,16,5,7,2,14,19,9,1,1,3,0,0,1.07,11,29,1.08,10,26,1.07,9.5,22,1.08,11,23,1.08,15.29,33.22,1.08,10,26,1.06,13,34,1.07,13,36,44,1.12,1.08,16,11.09,46,27.83,1.08,14.27,35.11
SP1,22/02/2014,Sociedad,Barcelona,3,1,H,1,1,D,15,12,3,3,13,15,2,13,2,3,0,0,7.5,5,1.36,8,5,1.36,7.6,4.8,1.35,7,5,1.4,8.22,5.53,1.39,8,4.5,1.4,8,5,1.36,8,5,1.4,44,9.2,7.79,5.53,4.9,1.41,1.37,8.76,5.78,1.36
SP1,23/02/2014,Betis,Ath Bilbao,0,2,A,0,1,A,11,14,4,7,14,10,8,5,2,1,2,0,2.88,3.4,2.38,2.95,3.3,2.35,3.1,3.3,2.2,3,3.4,2.3,3.2,3.48,2.38,3.1,3.1,2.4,3.13,3.5,2.25,3.12,3.4,2.4,44,3.2,3.02,3.5,3.31,2.4,2.34,3.51,3.6,2.18
SP1,23/02/2014,Osasuna,Ath Madrid,3,0,H,3,0,H,10,13,4,6,13,10,6,9,0,1,0,0,7,4,1.5,7.25,4,1.48,7,4,1.45,7,4,1.5,7.46,4.21,1.54,7,3.75,1.53,7,4.2,1.5,7,4.2,1.55,44,8.5,7.07,4.5,3.95,1.55,1.5,6.77,4.04,1.6
SP1,23/02/2014,Valencia,Granada,2,1,H,0,0,D,17,8,7,3,14,15,8,2,5,3,0,0,1.5,4.1,6.5,1.5,4.2,6.25,1.45,4,7,1.53,4,6.5,1.53,4.47,7.02,1.53,3.75,7,1.5,4.2,7,1.55,4.4,6.5,44,1.55,1.5,4.75,4.11,7.2,6.65,1.5,4.54,7.54
SP1,23/02/2014,Vallecano,Sevilla,0,1,A,0,0,D,9,9,1,2,16,11,1,7,2,1,0,1,3.1,3.4,2.25,3.25,3.3,2.2,3.1,3.3,2.2,3.25,3.4,2.15,3.33,3.68,2.23,3.2,3.2,2.3,3.4,3.5,2.1,3.3,3.5,2.2,44,3.4,3.17,3.68,3.37,2.3,2.22,3.37,3.84,2.16
SP1,24/02/2014,Espanol,Villarreal,1,2,A,0,1,A,13,10,6,4,12,19,2,2,4,4,0,0,2.5,3.25,2.8,2.5,3.1,2.9,2.6,3.2,2.6,2.5,3.3,2.75,2.58,3.24,3.1,2.62,3,2.9,2.63,3.25,2.75,2.6,3.25,3,41,2.64,2.54,3.3,3.17,3.1,2.86,2.46,3.29,3.23
SP1,28/02/2014,Ath Bilbao,Granada,4,0,H,2,0,H,27,6,10,1,9,12,6,3,0,2,0,1,1.4,4.5,7.5,1.4,4.4,8,1.45,4,7,1.4,4.5,8,1.41,4.91,9.5,1.4,4.5,8,1.44,4.5,8,1.4,4.8,9,42,1.5,1.4,5,4.59,9.6,8.26,1.36,5.28,10.51
SP1,01/03/2014,Elche,Celta,1,0,H,0,0,D,9,12,1,3,13,15,3,12,5,3,0,0,2.5,3.1,2.9,2.25,3.25,3.2,2.3,3.3,2.9,2.3,3.25,3.1,2.57,3.22,3.12,2.4,3.1,3.1,2.3,3.25,3.2,2.6,3.2,3.1,43,2.6,2.47,3.3,3.17,3.2,2.97,2.56,3.37,3
SP1,01/03/2014,Getafe,Espanol,0,0,D,0,0,D,15,17,7,3,9,11,10,11,4,3,0,0,2.6,3.2,2.75,2.55,3.1,2.85,2.4,3.3,2.75,2.4,3.2,3,2.76,3.21,2.89,2.7,3.1,2.7,2.4,3.25,3,2.62,3.2,2.9,42,2.76,2.59,3.3,3.19,3,2.81,2.81,3.31,2.72
SP1,01/03/2014,Levante,Osasuna,2,0,H,2,0,H,7,15,3,4,22,18,3,6,4,3,1,0,2.3,3.2,3.2,2.35,3.2,3,2.1,3.3,3.3,2.2,3.2,3.4,2.42,3.17,3.43,2.4,3.1,3.1,2.25,3.2,3.4,2.4,3.2,3.4,43,2.45,2.34,3.3,3.15,3.46,3.22,2.37,3.29,3.36
SP1,01/03/2014,Malaga,Valladolid,1,1,D,1,1,D,17,8,5,3,18,15,8,5,0,1,0,0,1.85,3.4,4.33,1.78,3.4,4.75,1.8,3.5,4.2,1.85,3.4,4.33,1.88,3.57,4.83,1.85,3.3,4.5,1.83,3.4,4.8,1.87,3.4,4.8,43,1.9,1.84,3.6,3.42,5,4.54,1.88,3.47,4.95
SP1,02/03/2014,Ath Madrid,Real Madrid,2,2,D,2,1,H,11,15,4,6,17,10,6,4,3,2,0,0,3.5,3.4,2.05,3.7,3.5,1.95,3.3,3.3,2.1,3.4,3.4,2.1,3.7,3.54,2.14,3.8,3,2.15,3.4,3.5,2.1,3.6,3.4,2.15,43,4,3.58,3.65,3.38,2.15,2.08,3.43,3.45,2.28
SP1,02/03/2014,Barcelona,Almeria,4,1,H,2,1,H,29,6,11,3,8,12,13,4,1,4,0,0,1.05,13,34,1.06,11,29,1.07,9.5,22,1.06,12,26,1.06,20.36,34.98,1.06,11,41,1.05,14,41,1.05,13,51,39,1.07,1.05,20.36,13.3,60.2,35.67,1.05,22.5,51
SP1,02/03/2014,Sevilla,Sociedad,1,0,H,0,0,D,10,11,5,3,15,10,3,4,2,4,0,0,1.91,3.75,3.6,2.05,3.8,3.5,2.1,3.3,3.3,2.05,3.5,3.4,1.94,3.84,4.05,2,3.2,4,1.95,3.75,3.75,2,3.75,3.8,43,2.1,1.96,3.84,3.58,4.05,3.76,1.86,3.81,4.52
SP1,02/03/2014,Vallecano,Valencia,1,0,H,0,0,D,17,11,3,1,19,16,3,3,3,1,0,1,3.3,3.3,2.2,3.4,3.5,2.05,3.6,3.3,2,3.1,3.5,2.2,3.4,3.72,2.19,3.5,3.1,2.2,3.2,3.4,2.25,3.3,3.5,2.2,43,3.7,3.33,3.72,3.4,2.25,2.16,3.2,3.78,2.26
SP1,02/03/2014,Villarreal,Betis,1,1,D,0,0,D,4,11,3,3,11,12,7,8,1,4,1,0,1.36,4.75,8.5,1.4,4.6,7.5,1.4,4.4,7.3,1.4,4.5,7.5,1.37,5.26,10.16,1.4,4.5,8,1.44,4.33,7.5,1.4,4.75,9.5,43,1.44,1.38,5.26,4.67,10.16,8.55,1.41,5.26,8.23
SP1,08/03/2014,Betis,Getafe,2,0,H,2,0,H,17,9,5,2,15,16,6,6,3,3,0,0,1.91,3.4,4,1.91,3.3,4.2,1.95,3.35,3.7,1.9,3.4,4,1.93,3.62,4.44,1.91,3.4,4,1.91,3.5,4.2,1.92,3.5,4.33,49,1.97,1.9,3.62,3.46,4.55,4.06,1.81,3.74,5.03
SP1,08/03/2014,Celta,Ath Madrid,0,2,A,0,0,D,9,13,2,7,12,11,2,5,1,3,0,0,4,3.4,1.91,4.2,3.3,1.91,4.2,3.5,1.8,4.6,3.6,1.75,4.7,3.51,1.92,4,3.3,1.95,4.8,3.6,1.8,4.5,3.4,1.95,49,4.8,4.23,3.6,3.39,1.96,1.89,4.28,3.44,2.01
SP1,08/03/2014,Granada,Villarreal,2,0,H,2,0,H,13,5,4,1,21,17,3,3,4,1,0,0,3.4,3.2,2.2,3.2,3.25,2.25,3.1,3.3,2.2,3.1,3.25,2.3,3.37,3.36,2.34,2.88,3.4,2.38,3.13,3.4,2.3,3.3,3.4,2.38,49,3.42,3.17,3.4,3.28,2.4,2.29,3.42,3.46,2.28
